Zeit:	Istwert Durchfluss	Totalisator	Alarm Nr. 1	
				
27.07.2020 11:55:28,894	0	0	0	
27.07.2020 11:55:29,163	0	0	0	
27.07.2020 11:55:29,415	0	0	0	
27.07.2020 11:55:29,683	0	0	0	
27.07.2020 11:55:29,936	0	0	0	
27.07.2020 11:55:30,202	0	0	0	
27.07.2020 11:55:30,469	0	0	0	
27.07.2020 11:55:30,726	0	0	0	
27.07.2020 11:55:30,992	0	0	0	
27.07.2020 11:55:31,245	0	0	0	
27.07.2020 11:55:31,517	0	0	0	
27.07.2020 11:55:31,777	0	0	0	
27.07.2020 11:55:32,42	0	0	0	
27.07.2020 11:55:32,294	0	0	0	
27.07.2020 11:55:32,562	0	0	0	
27.07.2020 11:55:32,823	0	0	0	
27.07.2020 11:55:33,89	0	0	0	
27.07.2020 11:55:33,341	0	0	0	
27.07.2020 11:55:33,598	0	0	0	
27.07.2020 11:55:33,867	0	0	0	
27.07.2020 11:55:34,119	0	0	0	
27.07.2020 11:55:34,385	0	0	0	
27.07.2020 11:55:34,654	0	0	0	
27.07.2020 11:55:34,922	0,3319673	0,006614513	0	
27.07.2020 11:55:35,174	0,8851956	0,01564052	0	
27.07.2020 11:55:35,441	1,411599	0,0251	0	
27.07.2020 11:55:35,705	0,4967021	0,02884786	0	
27.07.2020 11:55:35,977	0	0,02919056	0	
27.07.2020 11:55:36,248	0	0,02919056	0	
27.07.2020 11:55:36,512	0	0,02919056	0	
27.07.2020 11:55:36,774	0	0,02919056	0	
27.07.2020 11:55:37,28	0	0,02919056	0	
27.07.2020 11:55:37,282	0	0,02919056	0	
27.07.2020 11:55:37,548	0	0,02919056	0	
27.07.2020 11:55:37,806	0	0,02919056	0	
27.07.2020 11:55:38,77	0	0,02919056	0	
27.07.2020 11:55:38,348	0	0,02919056	0	
27.07.2020 11:55:38,604	0	0,02919056	0	
27.07.2020 11:55:38,861	0	0,02919056	0	
27.07.2020 11:55:39,127	0	0,02919056	0	
27.07.2020 11:55:39,396	0	0,02919056	0	
27.07.2020 11:55:39,656	0	0,02919056	0	
27.07.2020 11:55:39,909	0	0,02919056	0	
27.07.2020 11:55:40,181	0	0,02919056	0	
27.07.2020 11:55:40,449	0	0,02919056	0	
27.07.2020 11:55:40,720	0	0,02919056	0	
27.07.2020 11:55:40,991	0	0,02919056	0	
27.07.2020 11:55:41,259	0	0,02919056	0	
27.07.2020 11:55:41,512	0	0,02919056	0	
27.07.2020 11:55:41,768	0	0,02919056	0	
27.07.2020 11:55:42,41	0	0,02919056	0	
27.07.2020 11:55:42,312	0	0,02919056	0	
27.07.2020 11:55:42,564	0	0,02919056	0	
27.07.2020 11:55:42,820	0	0,02919056	0	
27.07.2020 11:55:43,86	0	0,02919056	0	
27.07.2020 11:55:43,354	0	0,02919056	0	
27.07.2020 11:55:43,615	0	0,02919056	0	
27.07.2020 11:55:43,879	0	0,02919056	0	
27.07.2020 11:55:44,143	0	0,02919056	0	
27.07.2020 11:55:44,405	0	0,02919056	0	
27.07.2020 11:55:44,659	0	0,02919056	0	
27.07.2020 11:55:44,929	0	0,02919056	0	
27.07.2020 11:55:45,200	0,2698406	0,03416459	0	
27.07.2020 11:55:45,473	0,879378	0,04477767	0	
27.07.2020 11:55:45,729	1,379942	0,05428978	0	
27.07.2020 11:55:46,3	0,4734949	0,05793126	0	
27.07.2020 11:55:46,255	0	0,05825131	0	
27.07.2020 11:55:46,508	0	0,05825131	0	
27.07.2020 11:55:46,773	0	0,05825131	0	
27.07.2020 11:55:47,34	0	0,05825131	0	
27.07.2020 11:55:47,297	0	0,05825131	0	
27.07.2020 11:55:47,554	0	0,05825131	0	
27.07.2020 11:55:47,821	0	0,05825131	0	
27.07.2020 11:55:48,77	0	0,05825131	0	
27.07.2020 11:55:48,350	0	0,05825131	0	
27.07.2020 11:55:48,615	0	0,05825131	0	
27.07.2020 11:55:48,877	0	0,05825131	0	
27.07.2020 11:55:49,149	0	0,05825131	0	
27.07.2020 11:55:49,405	0	0,05825131	0	
27.07.2020 11:55:49,670	0	0,05825131	0	
27.07.2020 11:55:49,933	0	0,05825131	0	
27.07.2020 11:55:50,198	0	0,05825131	0	
27.07.2020 11:55:50,459	0	0,05825131	0	
27.07.2020 11:55:50,726	0	0,05825131	0	
27.07.2020 11:55:50,997	0	0,05825131	0	
27.07.2020 11:55:51,251	0	0,05825131	0	
27.07.2020 11:55:51,515	0	0,05825131	0	
27.07.2020 11:55:51,783	0	0,05825131	0	
27.07.2020 11:55:52,46	0	0,05825131	0	
27.07.2020 11:55:52,300	0	0,05825131	0	
27.07.2020 11:55:52,555	0	0,05825131	0	
27.07.2020 11:55:52,835	0	0,05825131	0	
27.07.2020 11:55:53,95	0	0,05825131	0	
27.07.2020 11:55:53,351	0	0,05825131	0	
27.07.2020 11:55:53,605	0	0,05825131	0	
27.07.2020 11:55:53,866	0	0,05825131	0	
27.07.2020 11:55:54,135	0	0,05825131	0	
27.07.2020 11:55:54,405	0	0,05825131	0	
27.07.2020 11:55:54,675	0	0,05825131	0	
27.07.2020 11:55:54,934	0	0,05825131	0	
27.07.2020 11:55:55,206	0	0,05825131	0	
27.07.2020 11:55:55,461	0,1764469	0,06177389	0	
27.07.2020 11:55:55,726	0,7944	0,0723542	0	
27.07.2020 11:55:55,979	1,307487	0,08214318	0	
27.07.2020 11:55:56,248	0,6747555	0,08673359	0	
27.07.2020 11:55:56,520	0	0,08744135	0	
27.07.2020 11:55:56,773	0	0,08744135	0	
27.07.2020 11:55:57,41	0	0,08744135	0	
27.07.2020 11:55:57,295	0	0,08744135	0	
27.07.2020 11:55:57,548	0	0,08744135	0	
27.07.2020 11:55:57,811	0	0,08744135	0	
27.07.2020 11:55:58,81	0	0,08744135	0	
27.07.2020 11:55:58,347	0	0,08744135	0	
27.07.2020 11:55:58,601	0	0,08744135	0	
27.07.2020 11:55:58,875	0	0,08744135	0	
27.07.2020 11:55:59,148	0	0,08744135	0	
27.07.2020 11:55:59,404	0	0,08744135	0	
27.07.2020 11:55:59,661	0	0,08744135	0	
27.07.2020 11:55:59,918	0	0,08744135	0	
27.07.2020 11:56:00,179	0	0,08744135	0	
27.07.2020 11:56:00,434	0	0,08744135	0	
27.07.2020 11:56:00,701	0	0,08744135	0	
27.07.2020 11:56:00,956	0	0,08744135	0	
27.07.2020 11:56:01,227	0	0,08744135	0	
27.07.2020 11:56:01,478	0	0,08744135	0	
27.07.2020 11:56:01,750	0	0,08744135	0	
27.07.2020 11:56:02,11	0	0,08744135	0	
27.07.2020 11:56:02,283	0	0,08744135	0	
27.07.2020 11:56:02,546	0	0,08744135	0	
27.07.2020 11:56:02,808	0	0,08744135	0	
27.07.2020 11:56:03,68	0	0,08744135	0	
27.07.2020 11:56:03,337	0	0,08744135	0	
27.07.2020 11:56:03,609	0	0,08744135	0	
27.07.2020 11:56:03,881	0	0,08744135	0	
27.07.2020 11:56:04,135	0	0,08744135	0	
27.07.2020 11:56:04,398	0	0,08744135	0	
27.07.2020 11:56:04,659	0	0,08744135	0	
27.07.2020 11:56:04,925	0	0,08744135	0	
27.07.2020 11:56:05,181	0	0,08744135	0	
27.07.2020 11:56:05,437	0	0,08744135	0	
27.07.2020 11:56:05,698	0,108172	0,08999459	0	
27.07.2020 11:56:05,971	0,7268752	0,100467	0	
27.07.2020 11:56:06,233	1,250816	0,1103356	0	
27.07.2020 11:56:06,504	0,8853456	0,116347	0	
27.07.2020 11:56:06,777	0,06911287	0,1173498	0	
27.07.2020 11:56:07,42	0	0,1173498	0	
27.07.2020 11:56:07,304	0	0,1173498	0	
27.07.2020 11:56:07,577	0	0,1173498	0	
27.07.2020 11:56:07,845	0	0,1173498	0	
27.07.2020 11:56:08,111	0	0,1173498	0	
