Zeit:	Istwert Durchfluss	Totalisator	Alarm Nr. 1	
				
27.07.2020 10:56:14,398	0	0	0	
27.07.2020 10:56:14,662	0	0	0	
27.07.2020 10:56:14,931	0	0	0	
27.07.2020 10:56:15,196	0	0	0	
27.07.2020 10:56:15,452	0	0	0	
27.07.2020 10:56:15,708	0	0	0	
27.07.2020 10:56:15,969	0	0	0	
27.07.2020 10:56:16,226	0	0	0	
27.07.2020 10:56:16,480	0	0	0	
27.07.2020 10:56:16,737	0	0	0	
27.07.2020 10:56:17,8	0	0	0	
27.07.2020 10:56:17,260	0	0	0	
27.07.2020 10:56:17,526	0	0	0	
27.07.2020 10:56:17,786	0	0	0	
27.07.2020 10:56:18,57	0	0	0	
27.07.2020 10:56:18,331	0	0	0	
27.07.2020 10:56:18,585	0	0	0	
27.07.2020 10:56:18,840	0	0	0	
27.07.2020 10:56:19,92	0	0	0	
27.07.2020 10:56:19,355	0	0	0	
27.07.2020 10:56:19,618	0	0	0	
27.07.2020 10:56:19,888	0,00244077	0,0008258978	0	
27.07.2020 10:56:20,152	0,5705253	0,01033454	0	
27.07.2020 10:56:20,425	1,163751	0,02086926	0	
27.07.2020 10:56:20,681	1,362762	0,02766481	0	
27.07.2020 10:56:20,952	0,202665	0,02927407	0	
27.07.2020 10:56:21,206	0	0,02930829	0	
27.07.2020 10:56:21,473	0	0,02930829	0	
27.07.2020 10:56:21,726	0	0,02930829	0	
27.07.2020 10:56:21,980	0	0,02930829	0	
27.07.2020 10:56:22,249	0	0,02930829	0	
27.07.2020 10:56:22,505	0	0,02930829	0	
27.07.2020 10:56:22,767	0	0,02930829	0	
27.07.2020 10:56:23,26	0	0,02930829	0	
27.07.2020 10:56:23,299	0	0,02930829	0	
27.07.2020 10:56:23,568	0	0,02930829	0	
27.07.2020 10:56:23,835	0	0,02930829	0	
27.07.2020 10:56:24,104	0	0,02930829	0	
27.07.2020 10:56:24,365	0	0,02930829	0	
27.07.2020 10:56:24,618	0	0,02930829	0	
27.07.2020 10:56:24,874	0	0,02930829	0	
27.07.2020 10:56:25,146	0	0,02930829	0	
27.07.2020 10:56:25,411	0	0,02930829	0	
27.07.2020 10:56:25,672	0	0,02930829	0	
27.07.2020 10:56:25,946	0	0,02930829	0	
27.07.2020 10:56:26,197	0	0,02930829	0	
27.07.2020 10:56:26,455	0	0,02930829	0	
27.07.2020 10:56:26,727	0	0,02930829	0	
27.07.2020 10:56:26,998	0	0,02930829	0	
27.07.2020 10:56:27,263	0	0,02930829	0	
27.07.2020 10:56:27,531	0	0,02930829	0	
27.07.2020 10:56:27,792	0	0,02930829	0	
27.07.2020 10:56:28,49	0	0,02930829	0	
27.07.2020 10:56:28,314	0	0,02930829	0	
27.07.2020 10:56:28,586	0	0,02930829	0	
27.07.2020 10:56:28,857	0	0,02930829	0	
27.07.2020 10:56:29,127	0	0,02930829	0	
27.07.2020 10:56:29,390	0	0,02930829	0	
27.07.2020 10:56:29,641	0	0,02930829	0	
27.07.2020 10:56:29,893	0	0,02930829	0	
27.07.2020 10:56:30,155	0	0,02939151	0	
27.07.2020 10:56:30,413	0,4652213	0,03780943	0	
27.07.2020 10:56:30,664	1,046317	0,04735512	0	
27.07.2020 10:56:30,919	1,502305	0,05576134	0	
27.07.2020 10:56:31,176	0,4072436	0,05828689	0	
27.07.2020 10:56:31,436	0	0,0586222	0	
27.07.2020 10:56:31,710	0	0,0586222	0	
27.07.2020 10:56:31,964	0	0,0586222	0	
27.07.2020 10:56:32,215	0	0,0586222	0	
27.07.2020 10:56:32,474	0	0,0586222	0	
27.07.2020 10:56:32,740	0	0,0586222	0	
27.07.2020 10:56:33,3	0	0,0586222	0	
27.07.2020 10:56:33,261	0	0,0586222	0	
27.07.2020 10:56:33,514	0	0,0586222	0	
27.07.2020 10:56:33,779	0	0,0586222	0	
27.07.2020 10:56:34,41	0	0,0586222	0	
27.07.2020 10:56:34,309	0	0,0586222	0	
27.07.2020 10:56:34,579	0	0,0586222	0	
27.07.2020 10:56:34,851	0	0,0586222	0	
27.07.2020 10:56:35,111	0	0,0586222	0	
27.07.2020 10:56:35,383	0	0,0586222	0	
27.07.2020 10:56:35,650	0	0,0586222	0	
27.07.2020 10:56:35,912	0	0,0586222	0	
27.07.2020 10:56:36,184	0	0,0586222	0	
27.07.2020 10:56:36,435	0	0,0586222	0	
27.07.2020 10:56:36,695	0	0,0586222	0	
27.07.2020 10:56:36,963	0	0,0586222	0	
27.07.2020 10:56:37,235	0	0,0586222	0	
27.07.2020 10:56:37,497	0	0,0586222	0	
27.07.2020 10:56:37,756	0	0,0586222	0	
27.07.2020 10:56:38,19	0	0,0586222	0	
27.07.2020 10:56:38,291	0	0,0586222	0	
27.07.2020 10:56:38,543	0	0,0586222	0	
27.07.2020 10:56:38,793	0	0,0586222	0	
27.07.2020 10:56:39,44	0	0,0586222	0	
27.07.2020 10:56:39,309	0	0,0586222	0	
27.07.2020 10:56:39,569	0	0,0586222	0	
27.07.2020 10:56:39,832	0	0,0586222	0	
27.07.2020 10:56:40,103	0	0,0586222	0	
27.07.2020 10:56:40,361	0	0,0586222	0	
27.07.2020 10:56:40,612	0,2092057	0,06324184	0	
27.07.2020 10:56:40,869	0,8131355	0,07252203	0	
27.07.2020 10:56:41,121	1,314579	0,08186442	0	
27.07.2020 10:56:41,383	0,881018	0,08691275	0	
27.07.2020 10:56:41,641	0,1205653	0,08800969	0	
27.07.2020 10:56:41,905	0	0,08801857	0	
27.07.2020 10:56:42,160	0	0,08801857	0	
