Zeit:	Istwert Durchfluss	Totalisator	Alarm Nr. 1	
				
27.07.2020 11:21:35,502	0,569109	0,05811267	0	
27.07.2020 11:21:35,766	0	0,05862501	0	
27.07.2020 11:21:36,23	0	0,05862501	0	
27.07.2020 11:21:36,285	0	0,05862501	0	
27.07.2020 11:21:36,555	0	0,05862501	0	
27.07.2020 11:21:36,824	0	0,05862501	0	
27.07.2020 11:21:37,84	0	0,05862501	0	
27.07.2020 11:21:37,338	0	0,05862501	0	
27.07.2020 11:21:37,593	0	0,05862501	0	
27.07.2020 11:21:37,848	0	0,05862501	0	
27.07.2020 11:21:38,103	0	0,05862501	0	
27.07.2020 11:21:38,361	0	0,05862501	0	
27.07.2020 11:21:38,631	0	0,05862501	0	
27.07.2020 11:21:38,905	0	0,05862501	0	
27.07.2020 11:21:39,174	0	0,05862501	0	
27.07.2020 11:21:39,430	0	0,05862501	0	
27.07.2020 11:21:39,681	0	0,05862501	0	
27.07.2020 11:21:39,944	0	0,05862501	0	
27.07.2020 11:21:40,213	0	0,05862501	0	
27.07.2020 11:21:40,477	0	0,05862501	0	
27.07.2020 11:21:40,742	0	0,05862501	0	
27.07.2020 11:21:41,0	0	0,05862501	0	
27.07.2020 11:21:41,271	0	0,05862501	0	
27.07.2020 11:21:41,521	0	0,05862501	0	
27.07.2020 11:21:41,778	0	0,05862501	0	
27.07.2020 11:21:42,38	0	0,05862501	0	
27.07.2020 11:21:42,289	0	0,05862501	0	
27.07.2020 11:21:42,562	0	0,05862501	0	
27.07.2020 11:21:42,832	0	0,05862501	0	
27.07.2020 11:21:43,93	0	0,05862501	0	
27.07.2020 11:21:43,348	0	0,05862501	0	
27.07.2020 11:21:43,603	0	0,05862501	0	
27.07.2020 11:21:43,857	0	0,05862501	0	
27.07.2020 11:21:44,117	0	0,05862501	0	
27.07.2020 11:21:44,375	0	0,05862501	0	
27.07.2020 11:21:44,632	0	0,05862501	0	
27.07.2020 11:21:44,901	0,009253397	0,06002019	0	
27.07.2020 11:21:45,152	0,6145218	0,06973944	0	
27.07.2020 11:21:45,411	1,163009	0,07882921	0	
27.07.2020 11:21:45,669	1,224821	0,08604921	0	
27.07.2020 11:21:45,939	0,1890155	0,08781602	0	
27.07.2020 11:21:46,200	0	0,08782744	0	
27.07.2020 11:21:46,456	0	0,08782744	0	
27.07.2020 11:21:46,724	0	0,08782744	0	
27.07.2020 11:21:46,989	0	0,08782744	0	
27.07.2020 11:21:47,259	0	0,08782744	0	
27.07.2020 11:21:47,518	0	0,08782744	0	
27.07.2020 11:21:47,775	0	0,08782744	0	
27.07.2020 11:21:48,29	0	0,08782744	0	
27.07.2020 11:21:48,280	0	0,08782744	0	
27.07.2020 11:21:48,534	0	0,08782744	0	
27.07.2020 11:21:48,788	0	0,08782744	0	
27.07.2020 11:21:49,45	0	0,08782744	0	
27.07.2020 11:21:49,305	0	0,08782744	0	
27.07.2020 11:21:49,563	0	0,08782744	0	
27.07.2020 11:21:49,826	0	0,08782744	0	
27.07.2020 11:21:50,90	0	0,08782744	0	
27.07.2020 11:21:50,389	0	0,08782744	0	
27.07.2020 11:21:50,644	0	0,08782744	0	
27.07.2020 11:21:50,910	0	0,08782744	0	
27.07.2020 11:21:51,175	0	0,08782744	0	
27.07.2020 11:21:51,429	0	0,08782744	0	
27.07.2020 11:21:51,687	0	0,08782744	0	
27.07.2020 11:21:51,950	0	0,08782744	0	
27.07.2020 11:21:52,212	0	0,08782744	0	
27.07.2020 11:21:52,468	0	0,08782744	0	
27.07.2020 11:21:52,738	0	0,08782744	0	
27.07.2020 11:21:52,997	0	0,08782744	0	
27.07.2020 11:21:53,265	0	0,08782744	0	
27.07.2020 11:21:53,537	0	0,08782744	0	
27.07.2020 11:21:53,806	0	0,08782744	0	
27.07.2020 11:21:54,78	0	0,08782744	0	
27.07.2020 11:21:54,331	0	0,08782744	0	
27.07.2020 11:21:54,592	0	0,08782744	0	
27.07.2020 11:21:54,862	0	0,08782744	0	
27.07.2020 11:21:55,122	0	0,08784099	0	
27.07.2020 11:21:55,391	0,4665474	0,09557552	0	
27.07.2020 11:21:55,657	1,046976	0,1057784	0	
27.07.2020 11:21:55,916	1,50244	0,1142264	0	
27.07.2020 11:21:56,189	0,3721225	0,1169331	0	
27.07.2020 11:21:56,458	0	0,1172006	0	
27.07.2020 11:21:56,713	0	0,1172006	0	
27.07.2020 11:21:56,985	0	0,1172006	0	
27.07.2020 11:21:57,255	0	0,1172006	0	
27.07.2020 11:21:57,509	0	0,1172006	0	
27.07.2020 11:21:57,771	0	0,1172006	0	
27.07.2020 11:21:58,32	0	0,1172006	0	
27.07.2020 11:21:58,292	0	0,1172006	0	
27.07.2020 11:21:58,565	0	0,1172006	0	
27.07.2020 11:21:58,821	0	0,1172006	0	
27.07.2020 11:21:59,75	0	0,1172006	0	
27.07.2020 11:21:59,327	0	0,1172006	0	
27.07.2020 11:21:59,598	0	0,1172006	0	
27.07.2020 11:21:59,858	0	0,1172006	0	
27.07.2020 11:22:00,113	0	0,1172006	0	
27.07.2020 11:22:00,375	0	0,1172006	0	
27.07.2020 11:22:00,632	0	0,1172006	0	
27.07.2020 11:22:00,897	0	0,1172006	0	
27.07.2020 11:22:01,168	0	0,1172006	0	
27.07.2020 11:22:01,441	0	0,1172006	0	
27.07.2020 11:22:01,704	0	0,1172006	0	
