Zeit:	Istwert Durchfluss	Totalisator	Alarm Nr. 1	
				
28.07.2020 10:05:48,253	0	0,02881737	0	
28.07.2020 10:05:48,510	0	0,02881737	0	
28.07.2020 10:05:48,769	0	0,02881737	0	
28.07.2020 10:05:49,27	0	0,02881737	0	
28.07.2020 10:05:49,293	0	0,02881737	0	
28.07.2020 10:05:49,551	0	0,02881737	0	
28.07.2020 10:05:49,810	0	0,02881737	0	
28.07.2020 10:05:50,69	0	0,02881737	0	
28.07.2020 10:05:50,322	0	0,02881737	0	
28.07.2020 10:05:50,587	0	0,02881737	0	
28.07.2020 10:05:50,851	0	0,02881737	0	
28.07.2020 10:05:51,124	0	0,02881737	0	
28.07.2020 10:05:51,394	0	0,02881737	0	
28.07.2020 10:05:51,659	0	0,02881737	0	
28.07.2020 10:05:51,912	0	0,02881737	0	
28.07.2020 10:05:52,185	0	0,02881737	0	
28.07.2020 10:05:52,437	0	0,02881737	0	
28.07.2020 10:05:52,691	0	0,02881737	0	
28.07.2020 10:05:52,955	0	0,02881737	0	
28.07.2020 10:05:53,216	0	0,02881737	0	
28.07.2020 10:05:53,470	0	0,02881737	0	
28.07.2020 10:05:53,741	0	0,02881737	0	
28.07.2020 10:05:54,14	0	0,02881737	0	
28.07.2020 10:05:54,286	0	0,02881737	0	
28.07.2020 10:05:54,558	0	0,02881737	0	
28.07.2020 10:05:54,819	0	0,02881737	0	
28.07.2020 10:05:55,88	0	0,02881737	0	
28.07.2020 10:05:55,352	0,04284235	0,03114465	0	
28.07.2020 10:05:55,606	0,6675985	0,04102968	0	
28.07.2020 10:05:55,875	1,208597	0,05025945	0	
28.07.2020 10:05:56,126	1,039153	0,05660373	0	
28.07.2020 10:05:56,398	0,08852989	0,05780304	0	
28.07.2020 10:05:56,668	0	0,05780304	0	
28.07.2020 10:05:56,928	0	0,05780304	0	
28.07.2020 10:05:57,193	0	0,05780304	0	
28.07.2020 10:05:57,454	0	0,05780304	0	
28.07.2020 10:05:57,706	0	0,05780304	0	
28.07.2020 10:05:57,960	0	0,05780304	0	
28.07.2020 10:05:58,215	0	0,05780304	0	
28.07.2020 10:05:58,466	0	0,05780304	0	
28.07.2020 10:05:58,728	0	0,05780304	0	
28.07.2020 10:05:58,988	0	0,05780304	0	
28.07.2020 10:05:59,251	0	0,05780304	0	
28.07.2020 10:05:59,522	0	0,05780304	0	
28.07.2020 10:05:59,794	0	0,05780304	0	
28.07.2020 10:06:00,59	0	0,05780304	0	
28.07.2020 10:06:00,310	0	0,05780304	0	
28.07.2020 10:06:00,565	0	0,05780304	0	
28.07.2020 10:06:00,838	0	0,05780304	0	
28.07.2020 10:06:01,100	0	0,05780304	0	
28.07.2020 10:06:01,355	0	0,05780304	0	
28.07.2020 10:06:01,610	0	0,05780304	0	
28.07.2020 10:06:01,864	0	0,05780304	0	
28.07.2020 10:06:02,122	0	0,05780304	0	
28.07.2020 10:06:02,391	0	0,05780304	0	
28.07.2020 10:06:02,655	0	0,05780304	0	
28.07.2020 10:06:02,906	0	0,05780304	0	
28.07.2020 10:06:03,159	0	0,05780304	0	
28.07.2020 10:06:03,431	0	0,05780304	0	
28.07.2020 10:06:03,691	0	0,05780304	0	
28.07.2020 10:06:03,951	0	0,05780304	0	
28.07.2020 10:06:04,222	0	0,05780304	0	
28.07.2020 10:06:04,490	0	0,05780304	0	
28.07.2020 10:06:04,741	0	0,05780304	0	
28.07.2020 10:06:04,998	0	0,05780304	0	
28.07.2020 10:06:05,265	0	0,05780304	0	
28.07.2020 10:06:05,521	0	0,05780304	0	
28.07.2020 10:06:05,794	0,3788077	0,06528653	0	
28.07.2020 10:06:06,56	0,967682	0,07530718	0	
28.07.2020 10:06:06,311	1,437252	0,08411569	0	
28.07.2020 10:06:06,573	0,3504222	0,08644318	0	
28.07.2020 10:06:06,838	0	0,08663223	0	
28.07.2020 10:06:07,111	0	0,08663223	0	
28.07.2020 10:06:07,371	0	0,08663223	0	
28.07.2020 10:06:07,625	0	0,08663223	0	
28.07.2020 10:06:07,891	0	0,08663223	0	
28.07.2020 10:06:08,158	0	0,08663223	0	
28.07.2020 10:06:08,415	0	0,08663223	0	
28.07.2020 10:06:08,679	0	0,08663223	0	
28.07.2020 10:06:08,943	0	0,08663223	0	
28.07.2020 10:06:09,194	0	0,08663223	0	
28.07.2020 10:06:09,446	0	0,08663223	0	
28.07.2020 10:06:09,703	0	0,08663223	0	
28.07.2020 10:06:09,969	0	0,08663223	0	
28.07.2020 10:06:10,241	0	0,08663223	0	
28.07.2020 10:06:10,512	0	0,08663223	0	
28.07.2020 10:06:10,781	0	0,08663223	0	
28.07.2020 10:06:11,37	0	0,08663223	0	
28.07.2020 10:06:11,308	0	0,08663223	0	
28.07.2020 10:06:11,564	0	0,08663223	0	
28.07.2020 10:06:11,823	0	0,08663223	0	
28.07.2020 10:06:12,78	0	0,08663223	0	
28.07.2020 10:06:12,331	0	0,08663223	0	
28.07.2020 10:06:12,594	0	0,08663223	0	
28.07.2020 10:06:12,846	0	0,08663223	0	
28.07.2020 10:06:13,100	0	0,08663223	0	
28.07.2020 10:06:13,371	0	0,08663223	0	
28.07.2020 10:06:13,639	0	0,08663223	0	
28.07.2020 10:06:13,905	0	0,08663223	0	
28.07.2020 10:06:14,160	0	0,08663223	0	
28.07.2020 10:06:14,421	0	0,08663223	0	
28.07.2020 10:06:14,693	0	0,08663223	0	
28.07.2020 10:06:14,962	0	0,08663223	0	
28.07.2020 10:06:15,221	0	0,08663223	0	
28.07.2020 10:06:15,472	0	0,08663223	0	
28.07.2020 10:06:15,736	0	0,08663223	0	
28.07.2020 10:06:16,0	0,1828786	0,09098746	0	
28.07.2020 10:06:16,256	0,7980784	0,1006817	0	
28.07.2020 10:06:16,514	1,308879	0,1103987	0	
28.07.2020 10:06:16,775	0,8253928	0,1153044	0	
28.07.2020 10:06:17,42	0,07230324	0,1161724	0	
28.07.2020 10:06:17,299	0	0,1161724	0	
28.07.2020 10:06:17,566	0	0,1161724	0	
28.07.2020 10:06:17,836	0	0,1161724	0	
28.07.2020 10:06:18,105	0	0,1161724	0	
28.07.2020 10:06:18,377	0	0,1161724	0	
28.07.2020 10:06:18,641	0	0,1161724	0	
28.07.2020 10:06:18,912	0	0,1161724	0	
28.07.2020 10:06:19,172	0	0,1161724	0	
28.07.2020 10:06:19,438	0	0,1161724	0	
28.07.2020 10:06:19,691	0	0,1161724	0	
28.07.2020 10:06:19,948	0	0,1161724	0	
28.07.2020 10:06:20,209	0	0,1161724	0	
28.07.2020 10:06:20,462	0	0,1161724	0	
28.07.2020 10:06:20,715	0	0,1161724	0	
28.07.2020 10:06:20,982	0	0,1161724	0	
28.07.2020 10:06:21,239	0	0,1161724	0	
28.07.2020 10:06:21,511	0	0,1161724	0	
28.07.2020 10:06:21,784	0	0,1161724	0	
28.07.2020 10:06:22,46	0	0,1161724	0	
28.07.2020 10:06:22,302	0	0,1161724	0	
28.07.2020 10:06:22,553	0	0,1161724	0	
28.07.2020 10:06:22,826	0	0,1161724	0	
28.07.2020 10:06:23,89	0	0,1161724	0	
28.07.2020 10:06:23,342	0	0,1161724	0	
28.07.2020 10:06:23,614	0	0,1161724	0	
28.07.2020 10:06:23,882	0	0,1161724	0	
28.07.2020 10:06:24,151	0	0,1161724	0	
28.07.2020 10:06:24,421	0	0,1161724	0	
28.07.2020 10:06:24,683	0	0,1161724	0	
28.07.2020 10:06:24,945	0	0,1161724	0	
28.07.2020 10:06:25,202	0	0,1161724	0	
28.07.2020 10:06:25,452	0,0906627	0,1174791	0	
28.07.2020 10:06:25,718	0,1597684	0,1184691	0	
28.07.2020 10:06:25,982	0,1717437	0,1192502	0	
