Zeit:	Istwert Durchfluss	Totalisator	Alarm Nr. 1	
				
28.07.2020 10:47:18,174	0	0	0	
28.07.2020 10:47:18,433	0	0	0	
28.07.2020 10:47:18,686	0,2134303	0,004819189	0	
28.07.2020 10:47:18,947	0,8155516	0,01446875	0	
28.07.2020 10:47:19,220	1,353557	0,0246966	0	
28.07.2020 10:47:19,474	0,6039377	0,02859069	0	
28.07.2020 10:47:19,741	0	0,02913137	0	
28.07.2020 10:47:19,995	0	0,02913137	0	
28.07.2020 10:47:20,255	0	0,02913137	0	
28.07.2020 10:47:20,512	0	0,02913137	0	
28.07.2020 10:47:20,783	0	0,02913137	0	
28.07.2020 10:47:21,36	0	0,02913137	0	
28.07.2020 10:47:21,300	0	0,02913137	0	
28.07.2020 10:47:21,559	0	0,02913137	0	
28.07.2020 10:47:21,823	0	0,02913137	0	
28.07.2020 10:47:22,95	0	0,02913137	0	
28.07.2020 10:47:22,347	0	0,02913137	0	
28.07.2020 10:47:22,598	0	0,02913137	0	
28.07.2020 10:47:22,859	0	0,02913137	0	
28.07.2020 10:47:23,126	0	0,02913137	0	
28.07.2020 10:47:23,391	0	0,02913137	0	
28.07.2020 10:47:23,651	0	0,02913137	0	
28.07.2020 10:47:23,917	0	0,02913137	0	
28.07.2020 10:47:24,185	0	0,02913137	0	
28.07.2020 10:47:24,457	0	0,02913137	0	
28.07.2020 10:47:24,722	0	0,02913137	0	
28.07.2020 10:47:24,986	0	0,02913137	0	
28.07.2020 10:47:25,255	0	0,02913137	0	
28.07.2020 10:47:25,515	0	0,02913137	0	
28.07.2020 10:47:25,774	0	0,02913137	0	
28.07.2020 10:47:26,43	0	0,02913137	0	
28.07.2020 10:47:26,306	0	0,02913137	0	
28.07.2020 10:47:26,578	0	0,02913137	0	
28.07.2020 10:47:26,833	0	0,02913137	0	
28.07.2020 10:47:27,86	0	0,02913137	0	
28.07.2020 10:47:27,346	0	0,02913137	0	
28.07.2020 10:47:27,598	0	0,02913137	0	
28.07.2020 10:47:27,855	0	0,02913137	0	
28.07.2020 10:47:28,129	0	0,02913137	0	
28.07.2020 10:47:28,394	0	0,02913137	0	
28.07.2020 10:47:28,652	0	0,02913137	0	
28.07.2020 10:47:28,919	0,04056083	0,031464	0	
28.07.2020 10:47:29,186	0,666373	0,0415964	0	
28.07.2020 10:47:29,457	1,245516	0,05250603	0	
28.07.2020 10:47:29,721	0,7795144	0,05716816	0	
28.07.2020 10:47:29,979	0	0,05770753	0	
28.07.2020 10:47:30,242	0	0,05770753	0	
28.07.2020 10:47:30,500	0	0,05770753	0	
28.07.2020 10:47:30,763	0	0,05770753	0	
28.07.2020 10:47:31,13	0	0,05770753	0	
28.07.2020 10:47:31,280	0	0,05770753	0	
28.07.2020 10:47:31,544	0	0,05770753	0	
28.07.2020 10:47:31,802	0	0,05770753	0	
28.07.2020 10:47:32,71	0	0,05770753	0	
28.07.2020 10:47:32,333	0	0,05770753	0	
28.07.2020 10:47:32,587	0	0,05770753	0	
28.07.2020 10:47:32,841	0	0,05770753	0	
28.07.2020 10:47:33,112	0	0,05770753	0	
28.07.2020 10:47:33,364	0	0,05770753	0	
28.07.2020 10:47:33,628	0	0,05770753	0	
28.07.2020 10:47:33,896	0	0,05770753	0	
28.07.2020 10:47:34,148	0	0,05770753	0	
28.07.2020 10:47:34,408	0	0,05770753	0	
28.07.2020 10:47:34,658	0	0,05770753	0	
28.07.2020 10:47:34,923	0	0,05770753	0	
28.07.2020 10:47:35,195	0	0,05770753	0	
28.07.2020 10:47:35,455	0	0,05770753	0	
28.07.2020 10:47:35,716	0	0,05770753	0	
28.07.2020 10:47:35,969	0	0,05770753	0	
28.07.2020 10:47:36,220	0	0,05770753	0	
28.07.2020 10:47:36,477	0	0,05770753	0	
28.07.2020 10:47:36,737	0	0,05770753	0	
28.07.2020 10:47:36,994	0	0,05770753	0	
28.07.2020 10:47:37,248	0	0,05770753	0	
28.07.2020 10:47:37,514	0	0,05770753	0	
28.07.2020 10:47:37,776	0	0,05770753	0	
28.07.2020 10:47:38,45	0	0,05770753	0	
28.07.2020 10:47:38,295	0	0,05770753	0	
28.07.2020 10:47:38,552	0	0,05770753	0	
28.07.2020 10:47:38,819	0	0,05770753	0	
28.07.2020 10:47:39,82	0	0,05770753	0	
28.07.2020 10:47:39,339	0,335218	0,064571	0	
28.07.2020 10:47:39,606	0,9301649	0,07463548	0	
28.07.2020 10:47:39,860	1,412125	0,08377162	0	
28.07.2020 10:47:40,130	0,317488	0,08632794	0	
28.07.2020 10:47:40,395	0	0,08648666	0	
28.07.2020 10:47:40,660	0	0,08648666	0	
28.07.2020 10:47:40,925	0	0,08648666	0	
28.07.2020 10:47:41,176	0	0,08648666	0	
28.07.2020 10:47:41,449	0	0,08648666	0	
28.07.2020 10:47:41,720	0	0,08648666	0	
28.07.2020 10:47:41,978	0	0,08648666	0	
28.07.2020 10:47:42,246	0	0,08648666	0	
28.07.2020 10:47:42,499	0	0,08648666	0	
28.07.2020 10:47:42,756	0	0,08648666	0	
28.07.2020 10:47:43,19	0	0,08648666	0	
28.07.2020 10:47:43,277	0	0,08648666	0	
28.07.2020 10:47:43,544	0	0,08648666	0	
28.07.2020 10:47:43,807	0	0,08648666	0	
28.07.2020 10:47:44,60	0	0,08648666	0	
28.07.2020 10:47:44,328	0	0,08648666	0	
28.07.2020 10:47:44,593	0	0,08648666	0	
28.07.2020 10:47:44,845	0	0,08648666	0	
28.07.2020 10:47:45,96	0	0,08648666	0	
28.07.2020 10:47:45,367	0	0,08648666	0	
28.07.2020 10:47:45,639	0	0,08648666	0	
28.07.2020 10:47:45,900	0	0,08648666	0	
28.07.2020 10:47:46,157	0	0,08648666	0	
28.07.2020 10:47:46,408	0	0,08648666	0	
28.07.2020 10:47:46,676	0	0,08648666	0	
28.07.2020 10:47:46,929	0	0,08648666	0	
28.07.2020 10:47:47,199	0	0,08648666	0	
