Zeit:	Istwert Durchfluss	Totalisator	Alarm Nr. 1	
				
28.07.2020 10:26:36,799	0	0,02892229	0	
28.07.2020 10:26:37,58	0	0,02892229	0	
28.07.2020 10:26:37,326	0	0,02892229	0	
28.07.2020 10:26:37,584	0	0,02892229	0	
28.07.2020 10:26:37,839	0	0,02892229	0	
28.07.2020 10:26:38,109	0	0,02892229	0	
28.07.2020 10:26:38,362	0	0,02892229	0	
28.07.2020 10:26:38,625	0	0,02892229	0	
28.07.2020 10:26:38,885	0	0,02892229	0	
28.07.2020 10:26:39,138	0	0,02892229	0	
28.07.2020 10:26:39,389	0	0,02892229	0	
28.07.2020 10:26:39,661	0	0,02892229	0	
28.07.2020 10:26:39,930	0	0,02892229	0	
28.07.2020 10:26:40,199	0	0,02892229	0	
28.07.2020 10:26:40,456	0	0,02892229	0	
28.07.2020 10:26:40,719	0	0,02892229	0	
28.07.2020 10:26:40,989	0	0,02892229	0	
28.07.2020 10:26:41,247	0	0,02892229	0	
28.07.2020 10:26:41,508	0	0,02892229	0	
28.07.2020 10:26:41,774	0	0,02892229	0	
28.07.2020 10:26:42,25	0	0,02893102	0	
28.07.2020 10:26:42,287	0,4207819	0,03682116	0	
28.07.2020 10:26:42,547	1,003088	0,04588938	0	
28.07.2020 10:26:42,808	1,473095	0,05529881	0	
28.07.2020 10:26:43,59	0,393913	0,05776995	0	
28.07.2020 10:26:43,323	0	0,05803907	0	
28.07.2020 10:26:43,592	0	0,05803907	0	
28.07.2020 10:26:43,844	0	0,05803907	0	
28.07.2020 10:26:44,97	0	0,05803907	0	
28.07.2020 10:26:44,362	0	0,05803907	0	
28.07.2020 10:26:44,626	0	0,05803907	0	
28.07.2020 10:26:44,897	0	0,05803907	0	
28.07.2020 10:26:45,157	0	0,05803907	0	
28.07.2020 10:26:45,425	0	0,05803907	0	
28.07.2020 10:26:45,696	0	0,05803907	0	
28.07.2020 10:26:45,954	0	0,05803907	0	
28.07.2020 10:26:46,222	0	0,05803907	0	
28.07.2020 10:26:46,494	0	0,05803907	0	
28.07.2020 10:26:46,747	0	0,05803907	0	
28.07.2020 10:26:47,6	0	0,05803907	0	
28.07.2020 10:26:47,277	0	0,05803907	0	
28.07.2020 10:26:47,531	0	0,05803907	0	
28.07.2020 10:26:47,790	0	0,05803907	0	
28.07.2020 10:26:48,49	0	0,05803907	0	
28.07.2020 10:26:48,320	0	0,05803907	0	
28.07.2020 10:26:48,591	0	0,05803907	0	
28.07.2020 10:26:48,856	0	0,05803907	0	
28.07.2020 10:26:49,121	0	0,05803907	0	
28.07.2020 10:26:49,390	0	0,05803907	0	
28.07.2020 10:26:49,660	0	0,05803907	0	
28.07.2020 10:26:49,925	0	0,05803907	0	
28.07.2020 10:26:50,197	0	0,05803907	0	
28.07.2020 10:26:50,467	0	0,05803907	0	
28.07.2020 10:26:50,735	0	0,05803907	0	
28.07.2020 10:26:50,997	0	0,05803907	0	
28.07.2020 10:26:51,270	0	0,05803907	0	
28.07.2020 10:26:51,530	0	0,05803907	0	
28.07.2020 10:26:51,786	0	0,05803907	0	
28.07.2020 10:26:52,51	0	0,05803907	0	
28.07.2020 10:26:52,320	0	0,05803907	0	
28.07.2020 10:26:52,583	0,4022653	0,06595271	0	
28.07.2020 10:26:52,841	0,9800103	0,07517032	0	
28.07.2020 10:26:53,103	1,440706	0,08417867	0	
28.07.2020 10:26:53,373	0,3217284	0,0868331	0	
28.07.2020 10:26:53,643	0	0,08695897	0	
28.07.2020 10:26:53,908	0	0,08695897	0	
28.07.2020 10:26:54,179	0	0,08695897	0	
28.07.2020 10:26:54,443	0	0,08695897	0	
28.07.2020 10:26:54,715	0	0,08695897	0	
28.07.2020 10:26:54,984	0	0,08695897	0	
28.07.2020 10:26:55,249	0	0,08695897	0	
28.07.2020 10:26:55,503	0	0,08695897	0	
28.07.2020 10:26:55,773	0	0,08695897	0	
28.07.2020 10:26:56,38	0	0,08695897	0	
28.07.2020 10:26:56,289	0	0,08695897	0	
28.07.2020 10:26:56,559	0	0,08695897	0	
28.07.2020 10:26:56,812	0	0,08695897	0	
28.07.2020 10:26:57,66	0	0,08695897	0	
28.07.2020 10:26:57,368	0	0,08695897	0	
28.07.2020 10:26:57,629	0	0,08695897	0	
28.07.2020 10:26:57,883	0	0,08695897	0	
28.07.2020 10:26:58,152	0	0,08695897	0	
28.07.2020 10:26:58,405	0	0,08695897	0	
28.07.2020 10:26:58,663	0	0,08695897	0	
28.07.2020 10:26:58,915	0	0,08695897	0	
28.07.2020 10:26:59,182	0	0,08695897	0	
28.07.2020 10:26:59,447	0	0,08695897	0	
28.07.2020 10:26:59,706	0	0,08695897	0	
28.07.2020 10:26:59,975	0	0,08695897	0	
28.07.2020 10:27:00,248	0	0,08695897	0	
28.07.2020 10:27:00,501	0	0,08695897	0	
28.07.2020 10:27:00,759	0	0,08695897	0	
28.07.2020 10:27:01,15	0	0,08695897	0	
28.07.2020 10:27:01,280	0	0,08695897	0	
28.07.2020 10:27:01,540	0	0,08695897	0	
28.07.2020 10:27:01,798	0	0,08695897	0	
28.07.2020 10:27:02,63	0	0,08695897	0	
28.07.2020 10:27:02,333	0	0,08695897	0	
28.07.2020 10:27:02,602	0	0,08695897	0	
28.07.2020 10:27:02,865	0,3725936	0,09431399	0	
28.07.2020 10:27:03,118	0,9644161	0,1043195	0	
28.07.2020 10:27:03,398	1,473069	0,113352	0	
28.07.2020 10:27:03,660	0,3298396	0,1159586	0	
28.07.2020 10:27:03,912	0	0,116135	0	
28.07.2020 10:27:04,163	0	0,116135	0	
28.07.2020 10:27:04,434	0	0,116135	0	
28.07.2020 10:27:04,700	0	0,116135	0	
28.07.2020 10:27:04,956	0	0,116135	0	
28.07.2020 10:27:05,215	0	0,116135	0	
28.07.2020 10:27:05,470	0	0,116135	0	
28.07.2020 10:27:05,723	0	0,116135	0	
28.07.2020 10:27:05,996	0	0,116135	0	
28.07.2020 10:27:06,249	0	0,116135	0	
28.07.2020 10:27:06,502	0	0,116135	0	
28.07.2020 10:27:06,763	0	0,116135	0	
28.07.2020 10:27:07,28	0	0,116135	0	
28.07.2020 10:27:07,291	0	0,116135	0	
28.07.2020 10:27:07,547	0	0,116135	0	
28.07.2020 10:27:07,808	0	0,116135	0	
28.07.2020 10:27:08,64	0	0,116135	0	
28.07.2020 10:27:08,329	0	0,116135	0	
28.07.2020 10:27:08,604	0	0,116135	0	
28.07.2020 10:27:08,858	0	0,116135	0	
28.07.2020 10:27:09,116	0	0,116135	0	
