Zeit:	Istwert Durchfluss	Totalisator	Alarm Nr. 1	
				
28.07.2020 11:07:32,377	0	0,02911899	0	
28.07.2020 11:07:32,642	0	0,02911899	0	
28.07.2020 11:07:32,902	0	0,02911899	0	
28.07.2020 11:07:33,161	0	0,02911899	0	
28.07.2020 11:07:33,429	0	0,02911899	0	
28.07.2020 11:07:33,683	0	0,02911899	0	
28.07.2020 11:07:33,945	0	0,02911899	0	
28.07.2020 11:07:34,201	0	0,02911899	0	
28.07.2020 11:07:34,466	0,02945041	0,03045888	0	
28.07.2020 11:07:34,718	0,6114512	0,04016767	0	
28.07.2020 11:07:34,973	1,161613	0,05006831	0	
28.07.2020 11:07:35,224	1,197911	0,05670657	0	
28.07.2020 11:07:35,483	0,1621701	0,05809567	0	
28.07.2020 11:07:35,749	0	0,05812934	0	
28.07.2020 11:07:36,9	0	0,05812934	0	
28.07.2020 11:07:36,261	0	0,05812934	0	
28.07.2020 11:07:36,526	0	0,05812934	0	
28.07.2020 11:07:36,791	0	0,05812934	0	
28.07.2020 11:07:37,41	0	0,05812934	0	
28.07.2020 11:07:37,299	0	0,05812934	0	
28.07.2020 11:07:37,551	0	0,05812934	0	
28.07.2020 11:07:37,805	0	0,05812934	0	
28.07.2020 11:07:38,66	0	0,05812934	0	
28.07.2020 11:07:38,318	0	0,05812934	0	
28.07.2020 11:07:38,584	0	0,05812934	0	
28.07.2020 11:07:38,846	0	0,05812934	0	
28.07.2020 11:07:39,108	0	0,05812934	0	
28.07.2020 11:07:39,360	0	0,05812934	0	
28.07.2020 11:07:39,611	0	0,05812934	0	
28.07.2020 11:07:39,870	0	0,05812934	0	
28.07.2020 11:07:40,124	0	0,05812934	0	
28.07.2020 11:07:40,377	0	0,05812934	0	
28.07.2020 11:07:40,649	0	0,05812934	0	
28.07.2020 11:07:40,910	0	0,05812934	0	
28.07.2020 11:07:41,176	0	0,05812934	0	
28.07.2020 11:07:41,441	0	0,05812934	0	
28.07.2020 11:07:41,693	0	0,05812934	0	
28.07.2020 11:07:41,963	0	0,05812934	0	
28.07.2020 11:07:42,224	0	0,05812934	0	
28.07.2020 11:07:42,479	0	0,05812934	0	
28.07.2020 11:07:42,732	0	0,05812934	0	
28.07.2020 11:07:43,1	0	0,05812934	0	
28.07.2020 11:07:43,261	0	0,05812934	0	
28.07.2020 11:07:43,527	0	0,05812934	0	
28.07.2020 11:07:43,791	0	0,05812934	0	
28.07.2020 11:07:44,50	0	0,05812934	0	
28.07.2020 11:07:44,322	0	0,05812934	0	
28.07.2020 11:07:44,583	0	0,05812934	0	
28.07.2020 11:07:44,842	0,1447585	0,06206926	0	
28.07.2020 11:07:45,107	0,8053706	0,07301982	0	
28.07.2020 11:07:45,361	1,280804	0,08225045	0	
28.07.2020 11:07:45,614	0,6562495	0,08613201	0	
28.07.2020 11:07:45,879	0	0,08666389	0	
28.07.2020 11:07:46,133	0	0,08666389	0	
28.07.2020 11:07:46,404	0	0,08666389	0	
28.07.2020 11:07:46,661	0	0,08666389	0	
28.07.2020 11:07:46,928	0	0,08666389	0	
28.07.2020 11:07:47,189	0	0,08666389	0	
28.07.2020 11:07:47,447	0	0,08666389	0	
28.07.2020 11:07:47,698	0	0,08666389	0	
28.07.2020 11:07:47,957	0	0,08666389	0	
28.07.2020 11:07:48,210	0	0,08666389	0	
28.07.2020 11:07:48,471	0	0,08666389	0	
28.07.2020 11:07:48,727	0	0,08666389	0	
28.07.2020 11:07:48,982	0	0,08666389	0	
28.07.2020 11:07:49,237	0	0,08666389	0	
28.07.2020 11:07:49,495	0	0,08666389	0	
28.07.2020 11:07:49,769	0	0,08666389	0	
28.07.2020 11:07:50,22	0	0,08666389	0	
28.07.2020 11:07:50,295	0	0,08666389	0	
28.07.2020 11:07:50,568	0	0,08666389	0	
28.07.2020 11:07:50,833	0	0,08666389	0	
28.07.2020 11:07:51,91	0	0,08666389	0	
28.07.2020 11:07:51,344	0	0,08666389	0	
28.07.2020 11:07:51,608	0	0,08666389	0	
28.07.2020 11:07:51,872	0	0,08666389	0	
