Zeit:	Istwert Durchfluss	Totalisator	Alarm Nr. 1	
				
28.07.2020 09:22:08,154	0,8352783	0,01407774	0	
28.07.2020 09:22:08,414	1,346411	0,02447384	0	
28.07.2020 09:22:08,665	0,6838816	0,02845955	0	
28.07.2020 09:22:08,917	0,03393881	0,0291989	0	
28.07.2020 09:22:09,192	0	0,0291989	0	
28.07.2020 09:22:09,449	0	0,0291989	0	
28.07.2020 09:22:09,722	0	0,0291989	0	
28.07.2020 09:22:09,985	0	0,0291989	0	
28.07.2020 09:22:10,259	0	0,0291989	0	
28.07.2020 09:22:10,534	0	0,0291989	0	
28.07.2020 09:22:10,799	0	0,0291989	0	
28.07.2020 09:22:11,67	0	0,0291989	0	
28.07.2020 09:22:11,331	0	0,0291989	0	
28.07.2020 09:22:11,584	0	0,0291989	0	
28.07.2020 09:22:11,852	0	0,0291989	0	
28.07.2020 09:22:12,107	0	0,0291989	0	
28.07.2020 09:22:12,362	0	0,0291989	0	
28.07.2020 09:22:12,620	0	0,0291989	0	
28.07.2020 09:22:12,891	0	0,0291989	0	
28.07.2020 09:22:13,145	0	0,0291989	0	
28.07.2020 09:22:13,408	0	0,0291989	0	
28.07.2020 09:22:13,675	0	0,0291989	0	
28.07.2020 09:22:13,929	0	0,0291989	0	
28.07.2020 09:22:14,194	0	0,0291989	0	
28.07.2020 09:22:14,467	0	0,0291989	0	
28.07.2020 09:22:14,723	0	0,0291989	0	
28.07.2020 09:22:14,990	0	0,0291989	0	
28.07.2020 09:22:15,261	0	0,0291989	0	
28.07.2020 09:22:15,529	0	0,0291989	0	
28.07.2020 09:22:15,796	0	0,0291989	0	
28.07.2020 09:22:16,60	0	0,0291989	0	
28.07.2020 09:22:16,333	0	0,0291989	0	
28.07.2020 09:22:16,590	0	0,0291989	0	
28.07.2020 09:22:16,856	0	0,0291989	0	
28.07.2020 09:22:17,125	0	0,0291989	0	
28.07.2020 09:22:17,384	0	0,0291989	0	
28.07.2020 09:22:17,641	0	0,0291989	0	
28.07.2020 09:22:17,899	0	0,0291989	0	
28.07.2020 09:22:18,153	0,1151467	0,03250286	0	
28.07.2020 09:22:18,416	0,7452832	0,04131508	0	
28.07.2020 09:22:18,685	1,273995	0,05168636	0	
28.07.2020 09:22:18,956	0,8547621	0,05744133	0	
28.07.2020 09:22:19,227	0,09516381	0,05842999	0	
28.07.2020 09:22:19,483	0	0,05842999	0	
28.07.2020 09:22:19,753	0	0,05842999	0	
28.07.2020 09:22:20,4	0	0,05842999	0	
28.07.2020 09:22:20,272	0	0,05842999	0	
28.07.2020 09:22:20,537	0	0,05842999	0	
28.07.2020 09:22:20,805	0	0,05842999	0	
28.07.2020 09:22:21,72	0	0,05842999	0	
28.07.2020 09:22:21,327	0	0,05842999	0	
28.07.2020 09:22:21,589	0	0,05842999	0	
28.07.2020 09:22:21,856	0	0,05842999	0	
28.07.2020 09:22:22,107	0	0,05842999	0	
28.07.2020 09:22:22,371	0	0,05842999	0	
28.07.2020 09:22:22,635	0	0,05842999	0	
28.07.2020 09:22:22,892	0	0,05842999	0	
28.07.2020 09:22:23,146	0	0,05842999	0	
28.07.2020 09:22:23,412	0	0,05842999	0	
28.07.2020 09:22:23,683	0	0,05842999	0	
28.07.2020 09:22:23,949	0	0,05842999	0	
28.07.2020 09:22:24,201	0	0,05842999	0	
28.07.2020 09:22:24,461	0	0,05842999	0	
28.07.2020 09:22:24,731	0	0,05842999	0	
28.07.2020 09:22:25,3	0	0,05842999	0	
28.07.2020 09:22:25,254	0	0,05842999	0	
28.07.2020 09:22:25,519	0	0,05842999	0	
28.07.2020 09:22:25,773	0	0,05842999	0	
28.07.2020 09:22:26,35	0	0,05842999	0	
28.07.2020 09:22:26,303	0	0,05842999	0	
28.07.2020 09:22:26,560	0	0,05842999	0	
28.07.2020 09:22:26,825	0	0,05842999	0	
28.07.2020 09:22:27,84	0	0,05842999	0	
28.07.2020 09:22:27,342	0	0,05842999	0	
28.07.2020 09:22:27,593	0	0,05842999	0	
28.07.2020 09:22:27,864	0	0,05842999	0	
28.07.2020 09:22:28,131	0	0,05842999	0	
28.07.2020 09:22:28,387	0	0,05905764	0	
28.07.2020 09:22:28,654	0,5914991	0,06813044	0	
28.07.2020 09:22:28,920	1,138475	0,07824505	0	
28.07.2020 09:22:29,191	1,456438	0,08555298	0	
28.07.2020 09:22:29,445	0,3048364	0,08763428	0	
28.07.2020 09:22:29,713	0	0,08775444	0	
28.07.2020 09:22:29,982	0	0,08775444	0	
28.07.2020 09:22:30,238	0	0,08775444	0	
28.07.2020 09:22:30,497	0	0,08775444	0	
28.07.2020 09:22:30,767	0	0,08775444	0	
28.07.2020 09:22:31,40	0	0,08775444	0	
28.07.2020 09:22:31,304	0	0,08775444	0	
28.07.2020 09:22:31,558	0	0,08775444	0	
28.07.2020 09:22:31,814	0	0,08775444	0	
28.07.2020 09:22:32,72	0	0,08775444	0	
28.07.2020 09:22:32,333	0	0,08775444	0	
28.07.2020 09:22:32,591	0	0,08775444	0	
28.07.2020 09:22:32,865	0	0,08775444	0	
28.07.2020 09:22:33,131	0	0,08775444	0	
28.07.2020 09:22:33,383	0	0,08775444	0	
28.07.2020 09:22:33,640	0	0,08775444	0	
28.07.2020 09:22:33,900	0	0,08775444	0	
28.07.2020 09:22:34,168	0	0,08775444	0	
28.07.2020 09:22:34,439	0	0,08775444	0	
28.07.2020 09:22:34,693	0	0,08775444	0	
28.07.2020 09:22:34,962	0	0,08775444	0	
28.07.2020 09:22:35,227	0	0,08775444	0	
28.07.2020 09:22:35,481	0	0,08775444	0	
28.07.2020 09:22:35,752	0	0,08775444	0	
28.07.2020 09:22:36,11	0	0,08775444	0	
28.07.2020 09:22:36,279	0	0,08775444	0	
28.07.2020 09:22:36,548	0	0,08775444	0	
28.07.2020 09:22:36,818	0	0,08775444	0	
